developer,avg_metascore,avg_user_score,num_games
Retro Studios,90.0,8.866666634877523,6
Psygnosis,89.25,8.0,4
Motion Twin,89.25,7.875,4
Papyrus,89.0,6.3666666348775225,3
Moon Studios,88.66666666666667,8.566666603088379,3
Naughty Dog,88.6,7.973333326975505,15
Rockstar North,88.42857142857143,7.928571428571429,7
Valve Software,87.70588235294117,7.911764747956219,17
Epic Games,86.8,7.469999933242798,10
Supergiant Games,86.75,8.325000166893005,4
Turn 10,86.6,7.55999984741211,5
Nintendo EAD Tokyo,86.0,8.600000063578287,3
Out Of The Park Developments,86.0,6.200000017881393,8
Cardboard Computer,86.0,6.939999961853028,5
Rockstar Leeds,85.33333333333333,7.900000095367432,3
Polyphony Digital,85.22222222222223,7.811111079321967,9
CD Projekt Red Studio,85.11111111111111,7.855555640326606,9
Neversoft Entertainment,85.07142857142857,7.785714251654489,14
Schell Games,85.0,7.639999961853027,5
Big Huge Games,84.33333333333333,8.5,3
ArenaNet,84.28571428571429,7.985714367457798,7
Flagship,84.0,8.666666984558105,3
Daniel Mullins Games,84.0,8.133333365122477,3
Resonair,84.0,7.833333492279053,3
Blizzard Entertainment,83.925,5.4150000050663945,40
Smilebit,83.66666666666667,7.833333333333333,3
Two Point Studios,83.66666666666667,7.199999968210856,3
SquareSoft,83.64285714285714,8.464285782405309,14
The Coalition,83.33333333333333,7.666666507720947,3
Runic Games,83.33333333333333,7.666666666666667,3
DrinkBox Studios,83.14285714285714,7.842857156481061,7
Rayark Inc.,83.0,8.0,3
Unknown Worlds Entertainment,83.0,7.96666685740153,3
Lizardcube,83.0,8.233333269755045,3
Westwood Studios,83.0,8.137499988079071,8
343 Industries,82.85714285714286,7.357142925262451,7
Mythic Entertainment,82.75,6.7749998569488525,4
Bethesda Softworks,82.75,7.362499892711639,8
Ironclad Games,82.66666666666667,8.300000031789144,3
Cloudhead Games,82.66666666666667,7.433333237965901,3
Witch Beam,82.66666666666667,7.766666571299235,3
Playground Games,82.64285714285714,7.578571455819266,14
Firaxis Games,82.6,7.144000015258789,25
Yacht Club Games,82.4,8.019999980926514,5
Metalhead Software,82.4,6.959999847412109,5
Alphadream Corporation,82.33333333333333,7.983333428700765,6
KCEK,82.33333333333333,7.833333333333333,3
Red Hook Studios,82.25,6.899999976158142,4
Ghost Town Games Ltd.,82.25,7.675000190734863,4
Sucker Punch,82.25,8.212500035762787,8
Riot Games,82.0,5.566666762034099,3
Iguana Entertainment,82.0,7.766666571299235,3
Larian Studios Games,82.0,8.022222148047554,9
roll7,82.0,6.9666666984558105,6
Night School Studio,82.0,7.533333460489909,3
Zipper Interactive,82.0,8.059999942779541,5
Relic Entertainment,82.0,7.371428614570981,21
Failbetter Games,82.0,7.633333524068196,3
Irrational Games,81.88888888888889,8.111111164093018,9
SCE Santa Monica,81.88888888888889,8.111111217074924,9
Double Eleven,81.8,7.460000038146973,5
Black Isle Studios,81.8,8.300000190734863,5
Rockstar San Diego,81.66666666666667,8.177777767181396,9
Atlus,81.5945945945946,6.972973011635445,37
Sports Interactive,81.57142857142857,6.442857146263123,21
Vanillaware,81.5,8.516666412353516,6
QLOC,81.5,7.516666809717814,6
Blendo Games,81.33333333333333,6.399999936421712,3
Studio Liverpool,81.33333333333333,7.833333412806193,6
