developer,avg_metascore,avg_user_score,num_games
Retro Studios,90.0,8.866666634877523,6
Flagship,84.0,8.666666984558105,3
Nintendo EAD Tokyo,86.0,8.600000063578287,3
Overworks,77.33333333333333,8.600000063578287,3
Moon Studios,88.66666666666667,8.566666603088379,3
Digital Anvil,80.33333333333333,8.53333314259847,3
Vanillaware,81.5,8.516666412353516,6
Big Huge Games,84.33333333333333,8.5,3
Stainless Steel Studios,75.33333333333333,8.466666539510092,3
SquareSoft,83.64285714285714,8.464285782405309,14
ChunSoft,67.125,8.450000047683716,8
Troika Games,77.33333333333333,8.433333396911621,3
Tango Gameworks,75.16666666666667,8.416666587193808,6
Quantic Dream,76.66666666666667,8.366666952768961,6
Supergiant Games,86.75,8.325000166893005,4
Ensemble Studios,78.0,8.31999979019165,5
Black Isle Studios,81.8,8.300000190734863,5
Ironclad Games,82.66666666666667,8.300000031789144,3
GREZZO,81.25,8.26250010728836,8
Clover Studio,81.0,8.260000038146973,5
Lizardcube,83.0,8.233333269755045,3
Aqua Plus,71.8,8.21999979019165,5
Sucker Punch,82.25,8.212500035762787,8
Rockstar San Diego,81.66666666666667,8.177777767181396,9
Monolith Soft,79.41666666666667,8.175000071525574,12
Hopoo Games,79.33333333333333,8.166666666666666,3
Pyro Studios,73.6,8.160000133514405,5
Falcom,78.71428571428571,8.15714286622547,21
Strategy First,75.25,8.149999856948853,4
Westwood Studios,83.0,8.137499988079071,8
New World Interactive,76.33333333333333,8.133333365122477,3
Daniel Mullins Games,84.0,8.133333365122477,3
Barking Dog,80.33333333333333,8.133333365122477,3
Brownie Brown,69.0,8.133333206176758,3
Signal Studios,76.66666666666667,8.133333206176758,3
Katauri Interactive,78.25,8.12500011920929,4
Bugbear,76.0,8.120000076293945,5
Triumph Studios,80.44444444444444,8.111111270056831,9
SCE Santa Monica,81.88888888888889,8.111111217074924,9
Irrational Games,81.88888888888889,8.111111164093018,9
KCEO,77.66666666666667,8.100000063578287,3
Studio Saizensen,73.66666666666667,8.099999904632568,3
TimeGate Studios,73.5,8.099999785423279,4
Level 5,75.25806451612904,8.083870980047411,31
Ice-Pick Lodge,70.0,8.080000114440917,5
The Behemoth,81.2,8.079999923706055,5
5pb,76.25,8.074999988079071,8
HAL Labs,76.48148148148148,8.06296302654125,27
Zipper Interactive,82.0,8.059999942779541,5
Amusement Vision,78.66666666666667,8.050000031789144,6
4A Games,80.625,8.037500143051147,8
United Front Games,79.0,8.033333460489908,3
Altar Interactive,65.0,8.03333330154419,3
Larian Studios Games,82.0,8.022222148047554,9
Yacht Club Games,82.4,8.019999980926514,5
Rayark Inc.,83.0,8.0,3
Psygnosis,89.25,8.0,4
Oddworld Inhabitants,80.28571428571429,7.985714435577393,7
ArenaNet,84.28571428571429,7.985714367457798,7
Rocksteady Studios,79.66666666666667,7.983333508173625,6
Alphadream Corporation,82.33333333333333,7.983333428700765,6
Irem,70.5,7.9750001430511475,4
HexaDrive,78.25,7.974999904632568,4
Naughty Dog,88.6,7.973333326975505,15
Unknown Worlds Entertainment,83.0,7.96666685740153,3
Xeen,78.66666666666667,7.96666685740153,3
Logic Artists,77.0,7.9666666984558105,3
Koei Tecmo Games,73.47058823529412,7.958823568680707,17
Flight-Plan,73.5,7.950000047683716,4
Grimlore Games,75.0,7.950000047683716,4
Media Molecule,81.16666666666667,7.949999968210856,6
PopTop Software,80.25,7.949999928474426,4
Cing,72.33333333333333,7.933333396911621,3
Factor 5,74.83333333333333,7.933333317438762,6
System Prisma,73.33333333333333,7.933333237965901,3
Little Green Men,63.0,7.933333079020183,3
Rockstar North,88.42857142857143,7.928571428571429,7
Hitmaker,74.5,7.9125001430511475,8
Valve Software,87.70588235294117,7.911764747956219,17
Ryu ga Gotoku Studios,79.94117647058823,7.911764649783864,17
Team Ninja,75.66666666666667,7.907407407407407,27
Rockstar Leeds,85.33333333333333,7.900000095367432,3
JoyMasher,74.75,7.900000095367432,4
DMA Design,80.75,7.900000095367432,4
Team Reptile,77.0,7.900000095367432,4
Namco,77.47222222222223,7.9000000556310015,36
Crystal Dynamics,77.4,7.899999968210856,15
Grasshopper Manufacture,73.4,7.87999997138977,10
Melbourne House,67.0,7.8750001192092896,4
Motion Twin,89.25,7.875,4
ArtePiazza,80.0,7.871428557804653,7
Nintendo Software Technology,79.44444444444444,7.866666793823242,9
4Head Studios,60.0,7.866666793823242,3
Surreal Software,77.0,7.8666666348775225,3
Free Lives,78.66666666666667,7.866666475931804,3
Rare Ltd.,78.84615384615384,7.865384578704834,26
Game Arts,77.6,7.860000038146973,10
CD Projekt Red Studio,85.11111111111111,7.855555640326606,9
Illusion Softworks,76.0,7.8500001430511475,4
Rusty Lake,71.25,7.8500001430511475,4
Arkane Studios,78.18181818181819,7.845454562794078,11
DrinkBox Studios,83.14285714285714,7.842857156481061,7
4J Studios,72.8,7.840000152587891,5
Mojiken Studio,79.66666666666667,7.833333492279053,3
Resonair,84.0,7.833333492279053,3
Studio Liverpool,81.33333333333333,7.833333412806193,6
1C:Ino-Co,68.66666666666667,7.833333333333333,3
Smilebit,83.66666666666667,7.833333333333333,3
KCEK,82.33333333333333,7.833333333333333,3
Code Force,78.66666666666667,7.833333333333333,3
Day 1 Studios,80.66666666666667,7.833333333333333,3
2K Marin,78.33333333333333,7.833333333333333,3
Stoic,80.75,7.825000047683716,4
Zachtronics Industries,76.75,7.824999809265137,4
Gaijin Games,80.14285714285714,7.814285755157471,7
Polyphony Digital,85.22222222222223,7.811111079321967,9
Weappy Studio,68.0,7.800000190734863,3
FreakZone,75.66666666666667,7.800000031789144,3
Crackshell,77.66666666666667,7.800000031789144,3
ROCKFISH Games,79.33333333333333,7.800000031789144,3
Red Barrels,76.66666666666667,7.799999872843425,3
Intelligent Systems,80.90322580645162,7.796774264304869,31
Gust,73.53333333333333,7.7966667175292965,30
Neversoft Entertainment,85.07142857142857,7.785714251654489,14
Next Level Games,70.8,7.779999923706055,5
RED Entertainment,65.5,7.775000095367432,4
Examu,72.5,7.774999976158142,4
Silicon Studio,76.25,7.7749998569488525,4
Nintendo,80.44444444444444,7.773809527593945,126
PlatinumGames,78.16666666666667,7.770833343267441,24
Tomorrow Corporation,74.33333333333333,7.766666730244954,3
Mages.,70.66666666666667,7.766666730244954,3
Iguana Entertainment,82.0,7.766666571299235,3
Chime,71.0,7.766666571299235,3
Witch Beam,82.66666666666667,7.766666571299235,3
Cave,72.5,7.7500001192092896,4
Remedy Entertainment,81.0,7.750000095367431,10
Clap Hanz,79.25,7.75,4
Treasure,80.6923076923077,7.746153868161715,13
Amaze Entertainment,67.33333333333333,7.733333428700765,3
Hero Concept,73.0,7.733333269755046,3
Freebird Games,75.66666666666667,7.733333269755046,3
Square Enix,75.29824561403508,7.72807014197634,57
SCS Software,71.25,7.725000262260437,4
11 bit studios,79.375,7.724999964237213,8
Mimimi Games,81.25,7.724999904632568,4
Jupiter Corporation,72.72222222222223,7.711111148198445,18
Bluepoint Games,76.75,7.700000286102295,4
Doinksoft,73.0,7.700000127156575,3
Unfinished Pixel,75.66666666666667,7.700000127156575,3
Amanita Design,81.16666666666667,7.700000047683716,6
Neverland,66.81818181818181,7.7000000260093,11
id Software,78.66666666666667,7.694444470935398,18
Camelot Software Planning,78.4,7.686666647593181,15
From Software,73.65789473684211,7.681578962426436,38
Splash Damage,76.8,7.679999923706054,5
Insomniac Games,78.56521739130434,7.678260823954707,23
Ghost Town Games Ltd.,82.25,7.675000190734863,4
Llamasoft,78.0,7.674999952316284,4
Experience Inc.,73.77777777777777,7.666666666666667,9
Infogrames Sheffield,62.0,7.666666666666667,3
Runic Games,83.33333333333333,7.666666666666667,3
The Coalition,83.33333333333333,7.666666507720947,3
Alfa System,68.8,7.660000038146973,5
Ganbarion,69.2,7.660000038146973,5
Sandlot,70.2,7.659999942779541,5
Nicalis,80.25,7.65833334128062,12
KCEJ,70.36363636363636,7.654545437205922,11
SCE/WWS,81.25,7.650000214576721,4
Croteam,75.625,7.650000095367432,8
Cattle Call,68.25,7.650000095367432,4
Schell Games,85.0,7.639999961853027,5
Stormregion,72.2,7.639999961853027,5
Klei Entertainment,81.27272727272727,7.636363723061302,11
Coldwood Interactive,62.333333333333336,7.633333524068196,3
Acclaim Studios Austin,79.0,7.633333524068196,3
Failbetter Games,82.0,7.633333524068196,3
Gamedust,57.666666666666664,7.6333333651224775,3
Massive Monster,79.33333333333333,7.6333333651224775,3
Million,76.33333333333333,7.6333333651224775,3
KCET,78.91666666666667,7.633333345254262,24
Fireglow,69.0,7.633333206176758,3
Southend Interactive,73.28571428571429,7.628571510314941,7
Inti Creates,75.11764705882354,7.623529462253346,17
Otomate,80.88888888888889,7.622222158643934,9
Best Way,73.8,7.6200000762939455,5
Snowblind Studios,72.5,7.616666714350383,6
Cygames,80.0,7.600000222524007,3
Ignition Entertainment,76.66666666666667,7.600000063578288,3
Code Mystics Inc.,75.0,7.600000040871756,7
Spiderweb Software,78.33333333333333,7.599999904632568,3
