genre,avg_metascore,avg_user_score,num_games,gap
Bowling,45.15,5.933333337306976,157,14.183333373069765
3D Beat-'Em-Up,62.4593837535014,6.979901977029502,908,7.339636016793619
Soccer,65.76271186440678,7.289655216808977,431,7.133840303682987
Athletics,56.96296296296296,6.352380990982056,190,6.560846946857595
Fishing,55.891891891891895,6.109375,347,5.201858108108105
Volleyball,59.875,6.462500095367432,84,4.750000953674316
Rail Shooter,67.27868852459017,7.1704545779661695,378,4.425857255071534
Individual Sports,55.7,5.988888886239794,340,4.188888862397931
Sports,57.8235294117647,6.156250007450581,197,3.738970662741103
3D Fighting,65.87654320987654,6.878136219089604,883,2.9048189810194884
Party,61.462406015037594,6.355681834798871,1794,2.0944123329511157
Command RTS,69.71698113207547,7.179104484728913,408,2.0740637152136543
3D Platformer,67.19266055045871,6.915458295071337,2472,1.9619224002546645
Future Racing,69.21505376344086,7.095402301042929,428,1.7389692469884324
Hidden Object,63.65625,6.529787276653534,2822,1.6416227665353347
Logic Puzzle,67.74666666666667,6.937878786614447,1671,1.632121199477794
Racing,60.6,6.220000004768371,117,1.6000000476837144
Cricket,71.22222222222223,7.278260894443678,110,1.5603867222145453
Action,62.67718446601942,6.414822142939323,7032,1.4710369633738125
Surfing,70.11111111111111,7.150000095367432,45,1.3888898425632021
Third Person Shooter,64.29466357308584,6.5682608761217285,1463,1.3879451881314395
RPG,69.36018957345972,7.061818207393993,2145,1.2579925004802135
Artillery,70.1470588235294,7.1342105489028125,118,1.1950466654987224
Turn-Based Strategy,69.48858447488584,7.03520000743866,1314,0.8634155995007546
Edutainment,62.13333333333333,6.287037037037037,2853,0.7370370370370409
Arcade Racing,62.15862068965517,6.279699259794745,621,0.6383719082922781
2D Beat-'Em-Up,66.52845528455285,6.679323318981586,1086,0.26477790526301703
Real-Time Strategy,70.42516268980478,7.038721140388062,1784,-0.037951285924165745
Strategy,69.01357466063348,6.868438556740847,3309,-0.3291890932250112
