publisher,avg_metascore,avg_user_score,gap
Sports Interactive,96.0,1.399999976158142,82.00000023841858
Massive Entertainment,79.0,0.8999999761581421,70.00000023841858
Anima Game Studio,32.0,9.300000190734863,61.00000190734863
Ratbag,78.0,3.0,48.0
Lockpick Entertainment,46.0,9.399999618530273,47.999996185302734
D2C Games,18.0,6.400000095367432,46.000000953674316
Zoo Games,28.0,7.300000190734863,45.00000190734863
Triband,74.0,3.0,44.0
White Elk,71.0,2.700000047683716,43.99999952316284
"3000AD, Inc.",56.333333333333336,1.299999992052714,43.3333334128062
Enterbrain,65.0,2.200000047683716,42.99999952316284
XLGAMES,80.0,3.700000047683716,42.99999952316284
Flow Fire Games,67.0,2.5,42.0
Embers,76.0,3.5999999046325684,40.000000953674316
IceTorch Interactive,29.0,6.800000190734863,39.00000190734863
Mercury Games,29.0,6.800000190734863,39.00000190734863
Bacon Wrapped Games,69.0,3.0,39.0
Ludosity Interactive,73.0,3.5,38.0
Silver Dollar Games,77.0,4.0,37.0
Wizards of the Coast,75.0,3.839999961853027,36.60000038146973
JanduSoft,45.0,0.8999999761581421,36.00000023841858
ELECTROSTALIN ENTERTAINMENT,48.0,8.300000190734863,35.00000190734863
Knocktwice Games,67.0,3.200000047683716,34.99999952316284
Krillbite Studio,83.0,4.800000190734863,34.99999809265137
miHoYo,81.0,4.699999809265137,34.00000190734863
increpare,90.0,5.599999904632568,34.000000953674316
NVYVE Studios,62.0,2.799999952316284,34.00000047683716
Torn Banner Studios,74.0,4.0,34.0
SideBar Games,54.0,2.0,34.0
Snowrunner Games,30.0,6.300000190734863,33.00000190734863
Crypton Future Media,83.0,5.0,33.0
Beyond The Pillars,47.0,8.0,33.0
The Farm 51,46.0,7.800000190734863,32.00000190734863
Backbone Entertainment,17.0,4.900000095367432,32.000000953674316
PixelStorm,65.0,3.299999952316284,32.00000047683716
AAD Productions,62.0,3.0,32.0
Illwinter Design Group,76.0,4.400000095367432,31.999999046325684
Easy Interactive,76.0,4.400000095367432,31.999999046325684
Q Entertainment,77.0,4.550000071525574,31.499999284744263
rws,50.0,8.100000381469727,31.000003814697266
Pentavision Entertainment,77.0,4.599999904632568,31.000000953674316
Lumenox ehf,59.0,2.799999952316284,31.000000476837158
ZeniMax Media,81.0,5.0,31.0
Matthew Vimislik,76.0,4.5,31.0
Resolution Games,79.0,4.800000190734863,30.999998092651367
RLR Training Inc,37.666666666666664,6.833333333333333,30.666666666666664
Anshar Studios,65.0,3.4499999582767487,30.500000417232513
Battlecruiser Games,49.0,7.900000095367432,30.000000953674316
Star Maid Games,71.0,4.099999904632568,30.000000953674316
Bit Dragon,70.0,4.0,30.0
Fairyship Games,41.0,7.099999904632568,29.999999046325684
DolphinBarn,73.0,4.300000190734863,29.999998092651367
Garena,78.0,4.800000190734863,29.999998092651367
Pixelheart,52.0,8.100000381469727,29.000003814697266
Data Realms,44.0,7.300000190734863,29.000001907348633
